X,Y,sell_type,square,kind,total_price,images
37.610898,55.752926,Снять,833.0,Офисное помещение,3355185.0,{"orig": "static/images/orig/10058447044.jpg"}
37.580921,55.748199,Снять,2531.0,Офисное помещение,13414300.0,{"orig": "static/images/orig/9815880605.jpg"}
37.5946842,55.750219,Снять,181.0,Торговое помещение,850000.0,{"orig": "static/images/orig/9915451894.jpg"}
37.653708457947005,55.708980524838,Покупка,105.0,Офисное помещение,27000000.0,{"orig": "static/images/orig/9463493206.jpg"}
37.645608186722,55.729508599725,Покупка,7770.0,Офисное помещение,1450006288.0,{"orig": "static/images/orig/9713168920.jpg"}
37.6454101,55.730205,Снять,300.0,Торговое помещение,500000.0,{"orig": "static/images/orig/9719828945.jpg"}
37.674031,55.73291,Снять,80.0,Помещение свободного назначения,11200.0,{"orig": "static/images/orig/9824418614.jpg"}
37.652777,55.738764,Снять,132.0,Помещение свободного назначения,550000.0,{"orig": "static/images/orig/9873337303.jpg"}
37.614,55.7209,Снять,18654.0,Офисное помещение,35700000.0,{"orig": "static/images/orig/10071269232.jpg"}
37.639869,55.733026,Снять,32.7,Торговое помещение,570000.0,{"orig": "static/images/orig/9492914342.jpg"}
37.608167,55.715008,Снять,43.5,Помещение свободного назначения,250000.0,{"orig": "static/images/orig/10047186618.jpg"}
37.608288,55.746994,Снять,85.0,Помещение свободного назначения,17850000.0,{"orig": "static/images/orig/10111050194.jpg"}
37.623834,55.710027,Снять,1462.0,Офисное помещение,4386000.0,{"orig": "static/images/orig/10003675114.jpg"}
37.662982,55.747191,Снять,140.0,Помещение свободного назначения,100000.0,{"orig": "static/images/orig/8814877633.jpg"}
37.5612,55.7485,Покупка,130.0,Помещение свободного назначения,130000000.0,{"orig": "static/images/orig/9834907432.jpg"}
37.599148,55.74185,Снять,490.0,Помещение свободного назначения,1900000.0,{"orig": "static/images/orig/9867777677.jpg"}
37.6189627,55.7341539,Снять,16.0,Торговое помещение,180000.0,{"orig": "static/images/orig/9840406962.jpg"}
37.589421272277995,55.734009193061,Снять,128.0,Торговое помещение,798750.0,{"orig": "static/images/orig/9660081262.jpg"}
37.639869,55.733026,Покупка,32.7,Торговое помещение,78600000.0,{"orig": "static/images/orig/8365409613.jpg"}
37.617837,55.721255,Покупка,8.0,Торговое помещение,151457000.0,{"orig": "static/images/orig/9197860949.jpg"}
37.63547,55.74606,Покупка,294.0,Офисное помещение,91345800.0,{"orig": "static/images/orig/10071638337.jpg"}
37.624336,55.709682,Покупка,162.9,Торговое помещение,70047000.0,{"orig": "static/images/orig/6205675505.jpg"}
37.617159,55.740629,Покупка,59.56,Офисное помещение,16320000.0,{"orig": "static/images/orig/8777241268.jpg"}
37.615826,55.740963,Покупка,115.0,Помещение свободного назначения,3750000.0,{"orig": "static/images/orig/9871209189.jpg"}
37.589006,55.734243,Снять,232.0,Помещение общественного питания,1546541.0,{"orig": "static/images/orig/9530552455.jpg"}
37.66715900000001,55.745083,Покупка,205.0,Помещение свободного назначения,51115655.0,{"orig": "static/images/orig/6058471877.jpg"}
37.647558,55.730492,Снять,11000.0,Офисное помещение,22000000.0,{"orig": "static/images/orig/10105741219.jpg"}
37.6079,55.7143,Покупка,58.0,Торговое помещение,41000000.0,{"orig": "static/images/orig/9654612646.jpg"}
37.576789,55.730847,Снять,2076.0,Офисное помещение,3633000.0,{"orig": "static/images/orig/10044355657.jpg"}
37.5869,55.73539,Снять,767.0,Офисное помещение,4827818.0,{"orig": "static/images/orig/9004714075.jpg"}
37.663961,55.735778,Снять,917.0,Помещение свободного назначения,2292500.0,{"orig": "static/images/orig/9517146872.jpg"}
37.553388,55.745894,Снять,297.0,Торговое помещение,995000.0,{"orig": "static/images/orig/5847068039.jpg"}
37.537083,55.749511,Покупка,74.1,Помещение свободного назначения,35000000.0,{"orig": "static/images/orig/10098995281.jpg"}
37.634917,55.744047,Снять,1130.0,Офисное помещение,2354167.0,{"orig": "static/images/orig/10060284861.jpg"}
37.584121227264,55.75148711272,Снять,89.7,Торговое помещение,345345.0,{"orig": "static/images/orig/9660089176.jpg"}
37.59764000000001,55.74084,Снять,1500.0,Офисное помещение,7369125.0,{"orig": "static/images/orig/10105304901.jpg"}
37.65845,55.708818,Покупка,125.0,Помещение свободного назначения,99000000.0,{"orig": "static/images/orig/9575118996.jpg"}
37.623312593917106,55.72128985962,Снять,103.0,Торговое помещение,350000.0,{"orig": "static/images/orig/8706867539.jpg"}
37.663629,55.709495,Покупка,10.0,Торговое помещение,127000000.0,{"orig": "static/images/orig/10043308738.jpg"}
37.643219,55.713339,Покупка,462.3,Помещение общественного питания,40000000.0,{"orig": "static/images/orig/10097039376.jpg"}
37.564343,55.728696,Снять,8.0,Торговое помещение,1000000.0,{"orig": "static/images/orig/9905934473.jpg"}
37.552113679353,55.744609401627,Покупка,8143.0,Помещение свободного назначения,3320000000.0,{"orig": "static/images/orig/8807753795.jpg"}
37.637143135071,55.741668070295,Покупка,12.0,Помещение свободного назначения,335633100.0,{"orig": "static/images/orig/8147599611.jpg"}
37.569881,55.727658,Покупка,1928.0,Помещение свободного назначения,710000000.0,{"orig": "static/images/orig/10058406936.jpg"}
37.606559,55.707852,Покупка,56.0,Помещение свободного назначения,20797560.0,{"orig": "static/images/orig/9926815423.jpg"}
37.60072,55.720905,Снять,1092.0,Офисное помещение,2640456.0,{"orig": "static/images/orig/8833378828.jpg"}
37.68061,55.72911,Покупка,510.0,Офисное помещение,134999550.0,{"orig": "static/images/orig/9660909527.jpg"}
37.654843,55.746917,Снять,186.6,Помещение общественного питания,500000.0,{"orig": "static/images/orig/9784256491.jpg"}
37.643263936043,55.713021123852,Покупка,230.5,Офисное помещение,34889997.0,{"orig": "static/images/orig/9958967269.jpg"}
37.597968015869,55.70946529271,Покупка,71.0,Торговое помещение,33000000.0,{"orig": "static/images/orig/9760810736.jpg"}
37.608508,55.714019,Покупка,58.1,Торговое помещение,41000000.0,{"orig": "static/images/orig/9719851774.jpg"}
37.562937,55.743249,Снять,914.0,Помещение свободного назначения,2400000.0,{"orig": "static/images/orig/9150634526.jpg"}
37.664518,55.751356,Покупка,509.4,Офисное помещение,100000000.0,{"orig": "static/images/orig/10113128882.jpg"}
37.66621,55.7462,Покупка,384.0,Офисное помещение,139999872.0,{"orig": "static/images/orig/9660909547.jpg"}
37.5411425,55.747467,Покупка,108.0,Торговое помещение,138177643.0,{"orig": "static/images/orig/5844162832.jpg"}
37.62793900000001,55.73404,Снять,23.0,Офисное помещение,3000.0,{"orig": "static/images/orig/9819786691.jpg"}
37.601276,55.754276,Покупка,159.0,Помещение свободного назначения,120000000.0,{"orig": "static/images/orig/9972876309.jpg"}
37.6178,55.7328,Покупка,169.8,Помещение свободного назначения,105000001.0,{"orig": "static/images/orig/9243681380.jpg"}
37.636335733867995,55.746147785549,Покупка,375.0,Помещение свободного назначения,222293880.0,{"orig": "static/images/orig/9122516362.jpg"}
37.656819,55.708413,Снять,9.0,Торговое помещение,60000.0,{"orig": "static/images/orig/6008084404.jpg"}
37.59446970000001,55.7503074,Снять,180.9,Торговое помещение,850000.0,{"orig": "static/images/orig/9719863875.jpg"}
37.636932,55.7323,Снять,945.0,Офисное помещение,2598750.0,{"orig": "static/images/orig/9457710052.jpg"}
37.598043,55.752607,Покупка,85.8,Торговое помещение,167000000.0,{"orig": "static/images/orig/9013489363.jpg"}
37.665713,55.745585,Снять,1479.0,Офисное помещение,2711500.0,{"orig": "static/images/orig/10043517562.jpg"}
37.616,55.738343,Снять,60.0,Торговое помещение,380000.0,{"orig": "static/images/orig/9719842759.jpg"}
37.686437,55.731754,Покупка,87.0,Помещение свободного назначения,26728488.0,{"orig": "static/images/orig/10117281337.jpg"}
37.539078,55.747115,Снять,730.0,Офисное помещение,2920000.0,{"orig": "static/images/orig/9386209640.jpg"}
37.661603652779,55.743760148315,Снять,188.0,Помещение свободного назначения,300000.0,{"orig": "static/images/orig/9556007802.jpg"}
37.611167,55.73218,Снять,95.0,Торговое помещение,450000.0,{"orig": "static/images/orig/10063890601.jpg"}
37.617977,55.739397,Снять,125.0,Офисное помещение,250000.0,{"orig": "static/images/orig/9111155837.jpg"}
37.63579,55.721526,Покупка,857.9,Помещение общественного питания,170000000.0,{"orig": "static/images/orig/9397165704.jpg"}
37.65404172,55.73723272,Покупка,1560.5,Торговое помещение,430000000.0,{"orig": "static/images/orig/9972113185.jpg"}
37.65422,55.751337,Покупка,2149.0,Офисное помещение,598400000.0,{"orig": "static/images/orig/9063743365.jpg"}
37.613737,55.704148999969,Покупка,220.0,Офисное помещение,18000000.0,{"orig": "static/images/orig/9192443022.jpg"}
37.6051367,55.7385001,Покупка,131.0,Помещение свободного назначения,110000000.0,{"orig": "static/images/orig/9866137948.jpg"}
37.675118,55.746902,Снять,1302.0,Офисное помещение,2712500.0,{"orig": "static/images/orig/8967955696.jpg"}
37.5326,55.7518,Снять,1622.0,Офисное помещение,4866000.0,{"orig": "static/images/orig/10066112087.jpg"}
37.5570058,55.7419926,Снять,800.0,Помещение свободного назначения,2200000.0,{"orig": "static/images/orig/8277470890.jpg"}
37.5391,55.74718,Снять,1402.0,Офисное помещение,6449200.0,{"orig": "static/images/orig/9004841822.jpg"}
37.58652709,55.73922674,Покупка,264.0,Торговое помещение,180000000.0,{"orig": "static/images/orig/9981177728.jpg"}
37.576951,55.721731,Покупка,87.0,Помещение свободного назначения,47163000.0,{"orig": "static/images/orig/10043075918.jpg"}
37.553388,55.745894,Снять,69.7,Помещение свободного назначения,220000.0,{"orig": "static/images/orig/8171900255.jpg"}
37.647217,55.710169,Покупка,170.4,Торговое помещение,32376000.0,{"orig": "static/images/orig/8888585359.jpg"}
37.652777,55.738764,Снять,142.7,Торговое помещение,950000.0,{"orig": "static/images/orig/9584425468.jpg"}
37.646970748901,55.732209017989,Снять,490.0,Офисное помещение,2038400.0,{"orig": "static/images/orig/10171383184.jpg"}
37.614055,55.727811,Снять,60.0,Торговое помещение,250000.0,{"orig": "static/images/orig/10110092214.jpg"}
37.678128,55.743776,Снять,40.0,Торговое помещение,180000.0,{"orig": "static/images/orig/8519970191.jpg"}
37.640524,55.738095,Покупка,1204.0,Офисное помещение,220000000.0,{"orig": "static/images/orig/9744843083.jpg"}
37.631344,55.728074,Снять,18.2,Помещение свободного назначения,30000.0,{"orig": "static/images/orig/9231594021.jpg"}
37.628125548363,55.730787092841,Снять,510.0,Офисное помещение,2295000.0,{"orig": "static/images/orig/9660278416.jpg"}
37.599079,55.752269,Покупка,68.0,Торговое помещение,25500000.0,{"orig": "static/images/orig/9719832660.jpg"}
37.663792222737996,55.740089455854,Снять,783.0,Офисное помещение,2385866.0,{"orig": "static/images/orig/9660051146.jpg"}
37.622555,55.732037,Снять,261.0,Помещение свободного назначения,435000.0,{"orig": "static/images/orig/6337798674.jpg"}
37.63663931,55.74635685,Снять,99.2,Торговое помещение,446400.0,{"orig": "static/images/orig/9972115627.jpg"}
37.620966732502,55.713251171563,Снять,66.0,Торговое помещение,717340.0,{"orig": "static/images/orig/9660245168.jpg"}
37.63853,55.727749,Покупка,23.7,Офисное помещение,9000000.0,{"orig": "static/images/orig/9562348014.jpg"}
37.540488,55.748143,Покупка,165.0,Офисное помещение,120763500.0,{"orig": "static/images/orig/8796714671.jpg"}
37.651556,55.722157,Снять,1227.0,Офисное помещение,2760750.0,{"orig": "static/images/orig/10043515436.jpg"}
